com.samsung.health.step_count,1140029,6
speed,pkg_name,count,sample_position_type,time_offset,start_time,calorie,deviceuuid,custom,end_time,datauuid,distance,create_time,update_time
0.162808,com.sec.android.app.shealth,10,,32400000,2020. 07. 07. 오후 11:42:00,1.018484,sb+tNhfKEH,,2020. 07. 07. 오후 11:43:00,15941329-0000-0000-0000-941329200000,6.900000,2020. 07. 07. 오후 11:42:41,2020. 07. 07. 오후 11:42:41,
0.245337,com.sec.android.app.shealth,5,,32400000,2020. 07. 07. 오후 11:46:00,0.377045,sb+tNhfKEH,,2020. 07. 07. 오후 11:47:00,15941331-0000-0000-0000-941331600000,3.500000,2020. 07. 07. 오후 11:46:57,2020. 07. 07. 오후 11:46:57,
0.826639,com.sec.android.app.shealth,29,,32400000,2020. 07. 07. 오후 11:47:00,1.099778,sb+tNhfKEH,,2020. 07. 07. 오후 11:48:00,15941332-0000-0000-0000-941332200000,19.870001,2020. 07. 07. 오후 11:47:45,2020. 07. 07. 오후 11:47:45,
0.280385,com.sec.android.app.shealth,42,,32400000,2020. 07. 07. 오후 11:48:00,2.722872,sb+tNhfKEH,,2020. 07. 07. 오후 11:49:00,15941332-0000-0000-0000-941332800000,27.240000,2020. 07. 07. 오후 11:48:54,2020. 07. 07. 오후 11:48:54,
0.849434,com.sec.android.app.shealth,35,,32400000,2020. 07. 07. 오후 11:49:00,1.024429,sb+tNhfKEH,,2020. 07. 07. 오후 11:50:00,15941333-0000-0000-0000-941333400000,19.469999,2020. 07. 07. 오후 11:49:38,2020. 07. 07. 오후 11:49:38,
1.229690,com.sec.android.app.shealth,29,,32400000,2020. 07. 07. 오후 11:51:00,1.414158,sb+tNhfKEH,,2020. 07. 07. 오후 11:52:00,15941334-0000-0000-0000-941334600000,30.573221,2020. 07. 07. 오후 11:51:26,2020. 07. 07. 오후 11:51:26,
0.388101,com.sec.android.app.shealth,10,,32400000,2020. 07. 07. 오후 11:52:00,0.599861,sb+tNhfKEH,,2020. 07. 07. 오후 11:53:00,15941335-0000-0000-0000-941335200000,7.600000,2020. 07. 07. 오후 11:52:16,2020. 07. 07. 오후 11:52:16,
0.750603,com.sec.android.app.shealth,8,,32400000,2020. 07. 08. 오전 12:02:00,0.173412,sb+tNhfKEH,,2020. 07. 08. 오전 12:03:00,15941341-0000-0000-0000-941341200000,3.600000,2020. 07. 08. 오전 12:02:43,2020. 07. 08. 오전 12:02:43,
1.262303,com.sec.android.app.shealth,57,,32400000,2020. 07. 08. 오전 12:03:00,2.339344,sb+tNhfKEH,,2020. 07. 08. 오전 12:04:00,15941341-0000-0000-0000-941341800000,50.339058,2020. 07. 08. 오전 12:04:03,2020. 07. 08. 오전 12:04:03,
1.397343,com.sec.android.app.shealth,108,,32400000,2020. 07. 08. 오전 12:04:00,3.733575,sb+tNhfKEH,,2020. 07. 08. 오전 12:05:00,15941342-0000-0000-0000-941342400000,82.401855,2020. 07. 08. 오전 12:05:01,2020. 07. 08. 오전 12:05:01,
1.364609,com.sec.android.app.shealth,114,,32400000,2020. 07. 08. 오전 12:05:00,3.798487,sb+tNhfKEH,,2020. 07. 08. 오전 12:06:00,15941343-0000-0000-0000-941343000000,82.089371,2020. 07. 08. 오전 12:06:03,2020. 07. 08. 오전 12:06:03,
1.408117,com.sec.android.app.shealth,104,,32400000,2020. 07. 08. 오전 12:06:00,3.818606,sb+tNhfKEH,,2020. 07. 08. 오전 12:07:00,15941343-0000-0000-0000-941343600000,84.126831,2020. 07. 08. 오전 12:07:02,2020. 07. 08. 오전 12:07:02,
0.553158,com.sec.android.app.shealth,2,,32400000,2020. 07. 08. 오전 12:07:00,0.036936,sb+tNhfKEH,,2020. 07. 08. 오전 12:08:00,15941344-0000-0000-0000-941344200000,0.722937,2020. 07. 08. 오전 12:07:04,2020. 07. 08. 오전 12:07:04,
0.864690,com.sec.android.app.shealth,8,,32400000,2020. 07. 08. 오전 12:15:00,0.188243,sb+tNhfKEH,,2020. 07. 08. 오전 12:16:00,15941349-0000-0000-0000-941349000000,3.680000,2020. 07. 08. 오전 12:15:28,2020. 07. 08. 오전 12:15:28,
