com.samsung.health.floors_climbed,1140029,5
end_time,floor,pkg_name,custom,update_time,start_time,datauuid,time_offset,create_time,deviceuuid
2020. 07. 17. 오후 12:11:35,1.000000,com.sec.android.app.shealth,,2020. 07. 17. 오후 12:11:47,2020. 07. 17. 오후 12:11:08,1e969c6b-6933-9b55-4e45-f2be18519a08,32400000,2020. 07. 17. 오후 12:11:47,Eb+lTn/Fs+,
2020. 07. 17. 오후 12:30:12,1.000000,com.sec.android.app.shealth,,2020. 07. 17. 오후 12:34:57,2020. 07. 17. 오후 12:29:37,6aad8839-8706-a1e4-cc2a-8052da629522,32400000,2020. 07. 17. 오후 12:34:57,Eb+lTn/Fs+,
2020. 07. 17. 오후 12:32:16,1.000000,com.sec.android.app.shealth,,2020. 07. 17. 오후 12:34:57,2020. 07. 17. 오후 12:31:52,8bf6f008-5948-5423-ac75-a998a4a3a432,32400000,2020. 07. 17. 오후 12:34:57,Eb+lTn/Fs+,
2020. 07. 17. 오후 6:58:07,1.000000,com.sec.android.app.shealth,,2020. 07. 17. 오후 6:59:42,2020. 07. 17. 오후 6:57:57,67f92e4f-6486-af80-aff0-5a62882cc8f1,32400000,2020. 07. 17. 오후 6:58:05,Eb+lTn/Fs+,
2020. 07. 17. 오후 7:30:51,3.000000,com.sec.android.app.shealth,,2020. 07. 17. 오후 7:40:04,2020. 07. 17. 오후 7:30:29,216c5694-684e-5222-713a-0bac5936c8c2,32400000,2020. 07. 17. 오후 7:40:04,Eb+lTn/Fs+,
2020. 07. 17. 오후 7:32:49,1.000000,com.sec.android.app.shealth,,2020. 07. 17. 오후 7:40:04,2020. 07. 17. 오후 7:32:34,ccb271a4-554c-fdbf-96d1-0d329e06a127,32400000,2020. 07. 17. 오후 7:40:04,Eb+lTn/Fs+,
2020. 07. 17. 오후 7:51:00,6.000000,com.sec.android.app.shealth,,2020. 07. 17. 오후 7:57:28,2020. 07. 17. 오후 7:49:46,dd19d193-4d7c-739e-9ea8-671a3de7aa70,32400000,2020. 07. 17. 오후 7:57:28,Eb+lTn/Fs+,
2020. 07. 17. 오후 7:52:39,2.000000,com.sec.android.app.shealth,,2020. 07. 17. 오후 7:57:28,2020. 07. 17. 오후 7:52:01,5d1022fa-993a-2a8b-df6c-8d93380fcc85,32400000,2020. 07. 17. 오후 7:57:28,Eb+lTn/Fs+,
2020. 07. 17. 오후 7:57:00,1.000000,com.sec.android.app.shealth,,2020. 07. 17. 오후 7:57:28,2020. 07. 17. 오후 7:56:26,1a869ff1-60fc-ee03-ec84-3591723692ef,32400000,2020. 07. 17. 오후 7:57:28,Eb+lTn/Fs+,
2020. 07. 17. 오후 8:00:45,1.000000,com.sec.android.app.shealth,,2020. 07. 17. 오후 8:00:59,2020. 07. 17. 오후 8:00:30,e0f89a80-b976-7a32-55ef-62aec8c0a74d,32400000,2020. 07. 17. 오후 8:00:59,Eb+lTn/Fs+,

