com.samsung.shealth.tracker.heart_rate,6105031,3
tag_id,source,com.samsung.health.heart_rate.create_time,com.samsung.health.heart_rate.time_offset,com.samsung.health.heart_rate.max,com.samsung.health.heart_rate.heart_beat_count,com.samsung.health.heart_rate.custom,com.samsung.health.heart_rate.end_time,com.samsung.health.heart_rate.heart_rate,com.samsung.health.heart_rate.deviceuuid,com.samsung.health.heart_rate.start_time,com.samsung.health.heart_rate.pkg_name,com.samsung.health.heart_rate.update_time,com.samsung.health.heart_rate.min,com.samsung.health.heart_rate.binning_data,com.samsung.health.heart_rate.datauuid,com.samsung.health.heart_rate.comment
21301,,1594564746000,UTC+0900,73.0,1,,1594564746000,73.0,xUcHHNl7co,1594564746000,com.sec.android.app.shealth,1594564746000,73.0,,f2763e30-2efc-68c6-dc03-910c6d855756,,
21301,,1594694996000,UTC+0900,75.0,1,,1594694996000,75.0,xUcHHNl7co,1594694996000,com.sec.android.app.shealth,1594694996000,75.0,,9e28b815-6cb2-b2ad-3c64-fc7ab15c0aa1,,
21301,,1594567841000,UTC+0900,67.0,1,,1594567841000,67.0,xUcHHNl7co,1594567841000,com.sec.android.app.shealth,1594567841000,67.0,,1c6930a6-2a40-a44e-41f7-67e20ada8e35,,
21301,,1594701161000,UTC+0900,75.0,1,,1594701161000,75.0,xUcHHNl7co,1594701161000,com.sec.android.app.shealth,1594701161000,75.0,,40288b60-87af-955d-ff2d-335e41d807fb,,
21301,,1594570935000,UTC+0900,66.0,1,,1594570935000,66.0,xUcHHNl7co,1594570935000,com.sec.android.app.shealth,1594570935000,66.0,,82a94789-03d1-3dac-3ecd-77985dfba482,,
21313,,1594278840000,UTC+0900,97.0,1,,1594279980000,78.0,xUcHHNl7co,1594278000000,com.sec.android.app.shealth,1594279980000,66.0,7f04e611-7955-2f17-9a5f-57c40dc5bcb4.com.samsung.health.heart_rate.binning_data.json,7f04e611-7955-2f17-9a5f-57c40dc5bcb4,,
21301,,1594705184000,UTC+0900,79.0,1,,1594705184000,79.0,xUcHHNl7co,1594705184000,com.sec.android.app.shealth,1594705184000,79.0,,a7a01962-930e-997f-232f-1f0f24bedff0,,
21301,,1594575186000,UTC+0900,60.0,1,,1594575186000,60.0,xUcHHNl7co,1594575186000,com.sec.android.app.shealth,1594575186000,60.0,,1d9c8276-0d4a-be26-5695-28c413463f9f,,
21301,,1594709945000,UTC+0900,86.0,1,,1594709945000,86.0,xUcHHNl7co,1594709945000,com.sec.android.app.shealth,1594709945000,86.0,,36f17adb-3308-b9d4-f09a-9a510dd4bba3,,
21301,,1594589817000,UTC+0900,65.0,1,,1594589817000,65.0,xUcHHNl7co,1594589817000,com.sec.android.app.shealth,1594589817000,65.0,,00d91390-d511-7601-8188-5d87c21651ce,,
