com.samsung.shealth.tracker.pedometer_step_count,6105031,2
duration,run_step,version_code,walk_step,com.samsung.health.step_count.create_time,com.samsung.health.step_count.distance,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.custom,com.samsung.health.step_count.count,com.samsung.health.step_count.end_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.start_time,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.update_time,com.samsung.health.step_count.datauuid,com.samsung.health.step_count.calorie,com.samsung.health.step_count.sample_position_type
21034,1,4,45,1592384604927,36.81,UTC+0900,,46,1592384220000,1.75,CHxXcBbd2u,1592384160000,com.sec.android.app.shealth,1592384604927,8994d8bd-e42c-4ed6-bf24-ccf525761b1b,1.7,,
40354,0,4,53,1592383463070,58.29,UTC+0900,,92,1592383440000,1.4444444,CHxXcBbd2u,1592383380000,com.sec.android.app.shealth,1592383463070,8b89986b-a2fb-4c96-a45d-6219424db93f,4.91,,
16695,0,4,33,1592391760565,25.840004,UTC+0900,,33,1592391780000,1.5477525,CHxXcBbd2u,1592391720000,com.sec.android.app.shealth,1592391779740,fc2dafda-6ed6-45b2-8013-7534dd2cd914,1.17,,
43407,17,4,77,1592391060452,80.5,UTC+0900,,94,1592391120000,1.8545383,CHxXcBbd2u,1592391060000,com.sec.android.app.shealth,1592391131872,592b26dc-ccae-43b8-af42-8f3b76ecb841,4.16,,
21100,0,4,48,1592392228942,39.11,UTC+0900,,48,1592392260000,1.8535379,CHxXcBbd2u,1592392200000,com.sec.android.app.shealth,1592392247080,c2704432-63fc-478e-9ec3-cc8e51d12cc7,1.4999999,,
52156,0,4,94,1592393705616,82.62,UTC+0900,,110,1592393760000,1.5840907,CHxXcBbd2u,1592393700000,com.sec.android.app.shealth,1592393763866,aa12247e-9fa3-4d01-b740-d0630f54cfba,3.32,,
44129,0,4,28,1592391591936,67.42,UTC+0900,,122,1592391480000,1.5277778,CHxXcBbd2u,1592391420000,com.sec.android.app.shealth,1592391591936,14d2dc92-604e-4531-8e6f-797962f76624,3.66,,
40252,0,4,78,1592391900425,60.64001,UTC+0900,,78,1592391960000,1.506493,CHxXcBbd2u,1592391900000,com.sec.android.app.shealth,1592391959926,09674d21-d01c-4337-b951-199f68cfc29f,2.4199986,,
38852,0,4,41,1592391363893,56.12,UTC+0900,,100,1592391360000,1.4444444,CHxXcBbd2u,1592391300000,com.sec.android.app.shealth,1592391363893,c71eddaa-090c-48d4-97ed-38e4a9b9839b,3.25,,
4590,0,4,15,1592393524117,13.39,UTC+0900,,15,1592393520000,2.9166667,CHxXcBbd2u,1592393460000,com.sec.android.app.shealth,1592393524117,722b74fc-774b-48a1-bfbd-b7d717bfcf17,0.69,,
56888,0,4,107,1592391780296,82.27994,UTC+0900,,107,1592391840000,1.4463323,CHxXcBbd2u,1592391780000,com.sec.android.app.shealth,1592391839863,5118b992-a0cb-4259-9016-493dfcc5636e,3.6499975,,
60000,0,4,120,1592396400261,93.670006,UTC+0900,,120,1592396460000,1.5611668,CHxXcBbd2u,1592396400000,com.sec.android.app.shealth,1592396579342,140345f1-c090-49e5-a9b2-01bebb810ef8,3.6,,
13141,33,4,15,1592392872970,67.17,UTC+0900,,48,1592392620000,5.111111,CHxXcBbd2u,1592392560000,com.sec.android.app.shealth,1592392872970,e9bcb439-a864-4571-8ec2-288533ca567e,4.43,,
11032,0,4,23,1592396914627,19.0,UTC+0900,,23,1592396820000,1.7222222,CHxXcBbd2u,1592396760000,com.sec.android.app.shealth,1592396914627,9abe0e05-2783-43d8-b973-12e71bbbf92f,0.81,,
10683,0,4,20,1592393763881,15.42,UTC+0900,,20,1592393820000,1.4433751,CHxXcBbd2u,1592393760000,com.sec.android.app.shealth,1592394906957,22b9d1af-d66d-43b4-94c7-28dcb2c6a827,0.7,,
23319,3,4,44,1592383812250,37.57,UTC+0900,,47,1592383800000,1.6111112,CHxXcBbd2u,1592383740000,com.sec.android.app.shealth,1592383812250,665e0874-51ba-4e35-9d00-415f583e670e,1.68,,
52729,0,4,98,1592396692288,84.239975,UTC+0900,,110,1592396700000,1.5975822,CHxXcBbd2u,1592396640000,com.sec.android.app.shealth,1592396699983,3c7629f6-5b81-4a6a-90d5-798469db367c,3.5399992,,
28965,0,4,53,1592391960699,40.54001,UTC+0900,,53,1592392020000,1.399609,CHxXcBbd2u,1592391960000,com.sec.android.app.shealth,1592392228899,3c6148fd-c7e8-4168-b2a4-bf9ac47ea8a0,2.0399992,,
18685,11,4,31,1592393524143,35.719997,UTC+0900,,42,1592393580000,1.9116594,CHxXcBbd2u,1592393520000,com.sec.android.app.shealth,1592393575059,470d8de4-7f72-47fd-ac04-aa2cca9d6a0a,1.7099999,,
13366,0,4,26,1592434036955,23.02,UTC+0900,,26,1592433900000,1.7222222,CHxXcBbd2u,1592433840000,com.sec.android.app.shealth,1592434036955,0d976bb1-c53b-41e6-95c0-c896451976e7,1.12,,
60000,0,4,125,1592396579370,97.24,UTC+0900,,125,1592396520000,1.6206666,CHxXcBbd2u,1592396460000,com.sec.android.app.shealth,1592396579370,469e6235-eb01-449a-8f4a-2daf6b65261c,3.75,,
3618,0,4,7,1592392872998,5.73,UTC+0900,,7,1592392680000,1.5833334,CHxXcBbd2u,1592392620000,com.sec.android.app.shealth,1592392872998,34546bbb-8c09-4ed7-bd56-d4b48fe61667,0.23,,
55334,0,4,109,1592396352769,84.69999,UTC+0900,,109,1592396400000,1.530693,CHxXcBbd2u,1592396340000,com.sec.android.app.shealth,1592396399633,1bebc959-3f3a-4c95-8b8e-8213832637c9,3.359998,,
10698,0,4,20,1592398244728,15.18,UTC+0900,,20,1592398260000,1.4188892,CHxXcBbd2u,1592398200000,com.sec.android.app.shealth,1592398513354,ab1a4312-58e9-4669-92ce-c3da0566cb03,0.7,,
56109,0,4,111,1592396700497,87.11,UTC+0900,,111,1592396760000,1.552506,CHxXcBbd2u,1592396700000,com.sec.android.app.shealth,1592396914610,c5b87b59-040d-4f3b-91cb-647d4a6a5841,3.3600001,,
