com.samsung.shealth.tracker.pedometer_day_summary,6105031,5
create_time,distance,achievement,step_count,recommendation,day_time,speed,deviceuuid,active_time,source_package_name,pkg_name,update_time,walk_step_count,binning_data,datauuid,calorie,run_step_count,source_info,healthy_step
2019-09-26 01:10:34.947,8072.52,d45c0a55-6000-447f-877a-dda4a0376f41.achievement.json,11427,6000,1569456000000,1.6057166,VfS0qUERdZ,5027362,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-09-26 14:51:02.251,11328,d45c0a55-6000-447f-877a-dda4a0376f41.binning_data.json,d45c0a55-6000-447f-877a-dda4a0376f41,419.11,99,d45c0a55-6000-447f-877a-dda4a0376f41.source_info.json,0,
2019-11-08 03:03:06.202,6766.12,638728de-a8e6-4584-9954-c8d1a1d54a5c.achievement.json,9519,6000,1573171200000,1.6093996,VfS0qUERdZ,4204126,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-11-08 15:00:02.411,9442,638728de-a8e6-4584-9954-c8d1a1d54a5c.binning_data.json,638728de-a8e6-4584-9954-c8d1a1d54a5c,348.13992,77,638728de-a8e6-4584-9954-c8d1a1d54a5c.source_info.json,0,
2019-10-12 22:28:49.243,8015.1006,9c3207fc-f446-434f-a871-291001e547c5.achievement.json,10303,6000,1570924800000,1.6143279,VfS0qUERdZ,4964976,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-13 13:06:22.887,10247,9c3207fc-f446-434f-a871-291001e547c5.binning_data.json,9c3207fc-f446-434f-a871-291001e547c5,341.42996,56,9c3207fc-f446-434f-a871-291001e547c5.source_info.json,0,
2019-11-23 15:00:00.985,4137.98,12210480-a9d2-4231-88c2-4729b40b5c79.achievement.json,5287,6000,1574467200000,6.3083577,CHxXcBbd2u,2581712,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-11-23 15:00:00.985,5260,12210480-a9d2-4231-88c2-4729b40b5c79.binning_data.json,12210480-a9d2-4231-88c2-4729b40b5c79,210.33,27,,2732,
2019-11-10 23:19:10.429,10312.47,486674e1-6e4e-4672-9965-5b311f127458.achievement.json,14642,6000,1573430400000,1.5818869,VfS0qUERdZ,6519094,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-11-11 13:10:42.216,14551,486674e1-6e4e-4672-9965-5b311f127458.binning_data.json,486674e1-6e4e-4672-9965-5b311f127458,522.73,91,486674e1-6e4e-4672-9965-5b311f127458.source_info.json,0,
2019-10-04 15:00:01.780,10597.61,3e7a246d-cb65-42f0-85f9-fe670e6d8a17.achievement.json,14188,6000,1570147200000,3.0555556,CHxXcBbd2u,6814872,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-04 15:00:01.780,14117,3e7a246d-cb65-42f0-85f9-fe670e6d8a17.binning_data.json,3e7a246d-cb65-42f0-85f9-fe670e6d8a17,504.23993,71,,5710,
2019-10-16 00:39:18.459,8101.7104,1d2f36c4-fca2-470a-abae-53a3f121c579.achievement.json,10406,6000,1571184000000,1.6127249,VfS0qUERdZ,5023615,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-16 14:52:43.038,10331,1d2f36c4-fca2-470a-abae-53a3f121c579.binning_data.json,1d2f36c4-fca2-470a-abae-53a3f121c579,342.27994,75,1d2f36c4-fca2-470a-abae-53a3f121c579.source_info.json,0,
2019-09-28 22:18:24.014,5578.75,56483188-53e1-4459-a2e0-947c89956bf7.achievement.json,7108,6000,1569715200000,1.5996064,VfS0qUERdZ,3487576,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-09-29 13:58:04.787,7047,56483188-53e1-4459-a2e0-947c89956bf7.binning_data.json,56483188-53e1-4459-a2e0-947c89956bf7,232.28998,61,56483188-53e1-4459-a2e0-947c89956bf7.source_info.json,0,
2019-10-07 15:00:01.034,10056.56,70685846-bad7-44fd-a5a7-da0931f49349.achievement.json,14136,6000,1570406400000,2.0555553,CHxXcBbd2u,6296812,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-07 15:00:01.034,14063,70685846-bad7-44fd-a5a7-da0931f49349.binning_data.json,70685846-bad7-44fd-a5a7-da0931f49349,512.42,73,,10537,
2019-11-13 21:40:10.586,13891.851,ddc82dca-d4a7-4969-b546-bed87f33473c.achievement.json,18984,6000,1573689600000,1.632672,VfS0qUERdZ,8508659,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-11-14 09:47:40.960,18615,ddc82dca-d4a7-4969-b546-bed87f33473c.binning_data.json,ddc82dca-d4a7-4969-b546-bed87f33473c,693.7299,369,ddc82dca-d4a7-4969-b546-bed87f33473c.source_info.json,0,
