,제품명,최저가,사이트주소,제조회사,등록년월,분류,운영체제,인프라,블루투스버전,안드로이드OS,iOS,모양,패널종류,화면크기,해상도,모바일AP,코어갯수,시스템램,내장메모리,WiFi,GPS,NFC,심박센서,가속도센서,만보기센서,자이로센서,기압센서,자외선센서,3D터치센서,나침반센서,조도센서,모션센서,걷기,달리기,자전거타기,일립티컬,로잉머신,등산,승마,수영,스키,골프,요가,보행수,이동거리,칼로리,활동시간,수면정보,심박측정,심전도,운동량,체온,고도,페이스,속도,날씨,체지방,혈압체크,여성 건강 모니터링,진동,메세지알림,SNS알림,전화알림,통화가능,음악콘트롤,스피커,마이크,카메라촬영,분실방지,생활방수,전자결제,알람시계,전용앱지원,배터리용량,사용시간,무게(본체),방수/방진,시계줄넓이,형태,적합성평가인증,안전확인인증
142,아이디어뱅크 A2,130500,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=4384863&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=756570090&package=0&setpc=0,아이디어뱅크,201601,스마트워치,,,,안드로이드OS,iOS,사각형,,"3.6cm(1.4"")",,,,,,,,,,,○,,○,,,,,,,,,,,,,,,,,○,○,,○,,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,,,,230mAh,평균사용:7일,50g,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
143,ZGPAX S99 3G,93010,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=8087566&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B513735277&package=0&setpc=0,ZGPAX,201906,스마트워치,안드로이드OS,블루투스,,,,원형,,,360x360,미디어텍 MT6580,쿼드(4)코어,램 : 512MB,저장 : 8GB,○,○,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,400mAh,,,,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
144,화웨이 화웨이 워치,530000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3406891&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1401313218&package=0&setpc=0,화웨이,201510,스마트워치,안드로이드OS,블루투스,,안드로이드OS,iOS,원형,OLED,"3.6cm(1.4"")",400x400,퀄컴 스냅드래곤400,쿼드(4)코어,램 : 512MB,저장 : 4GB,○,,,○,○,,○,○,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,,,,300mAh,평균사용:1.5일,,IP67,표준 18mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
145,King-Wear KW06,106130,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6447765&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1488370662&package=0&setpc=0,King-Wear,201809,스마트워치,안드로이드OS,블루투스,,안드로이드OS,iOS,사각형,,"3.91cm(1.54"")",320x320,미디어텍 MT6580,쿼드(4)코어,램 : 512MB,저장 : 8GB,,○,,○,,,,,,,,,,,,,,,,,,,,,○,○,○,,,○,,,,,,,,,,,,,,,,,,,○,,,,,,460mAh,,66g,IP68,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
146,APPLE 워치 시리즈5 44mm Cellular 골드 알루미늄 케이스,650100,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9705780&cmpnyc=TP40F&safe_trade=4&fee_type=T&link_pcode=I2386474294&package=0&setpc=0,APPLE,201910,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,368x448,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
147,APPLE 워치 시리즈3 42mm Cellular 스테인리스 스틸 케이스,656568,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6198770&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000028203740&package=0&setpc=0,APPLE,201806,스마트워치,iOS(WatchOS),LTE+블루투스,v4.2,,v12.0 이상,사각형,OLED,,390x312,애플S3,듀얼(2)코어,램 : 768MB,저장 : 16GB,○,○,○,○,○,○,○,○,,○,,,,○,○,○,,,,,○,,,○,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,○,,,,평균사용:18시간,52.8g,,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
148,R11S,44900,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6458970&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B574687183&package=0&setpc=0,,201809,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,사각형,,"2.41cm(0.95"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,○,,,○,,,,,,,,,,,○,,,,,,○,,,,○,○,,,,IP67,표준 20mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
149,Diggro DI09,42920,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6197985&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1417208061&package=0&setpc=0,Diggro,201806,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,원형,OLED,"2.43cm(0.96"")",96x96,Nordic nRF51822,,램 : 256KB,,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,○,,,○,,,,,,,,,○,,○,,,,,,○,,,,○,,350mAh,,65g,IP68,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
150,XGODY DM68,48160,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6448275&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=992779680&package=0&setpc=0,XGODY,201809,스마트워치,기타OS,블루투스,,안드로이드OS,iOS,사각형,OLED,"2.41cm(0.95"")",96x64,Nordic nRF51822,,램 : 32KB,저장 : 256KB,,,,○,,,,,,,,,,,,,,,,,,,,,○,○,○,,○,○,,,,,,,,,,,,,○,,,,,,,,,,,,120mAh,,,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
151,"삼성전자 기어S2 밴드 클래식, SKT",235690,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=7367395&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=6398159073&package=0&setpc=0,삼성전자,201512,스마트워치,타이젠OS,블루투스,,안드로이드OS,,원형,OLED,"3.0cm(1.2"")",360x360,,듀얼(2)코어,램 : 512MB,저장 : 4GB,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,○,,,250mAh,평균사용:약 2일,42g,,표준 20mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,MSIP-CMM-SEC-SMR750 인증번호 확인
152,ASUS 젠워치2,199000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3212742&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=739109270&package=0&setpc=0,ASUS,201509,스마트워치,안드로이드OS,,,안드로이드OS,,,OLED,"4.1cm(1.6"")",320x320,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,○,,,○,○,,,,,,,,,,,,,,,,,,,○,,,○,,,,,,,IP67,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
153,APPLE 워치 시리즈4 44mm 알루미늄 케이스,672600,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6483667&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2373397128&package=0&setpc=0,APPLE,201809,스마트워치,iOS(WatchOS),블루투스,v5.0,,v12.0 이상,사각형,OLED,,368x448,애플S4,듀얼(2)코어,,저장 : 16GB,○,○,,○,○,,○,○,,,,○,,○,○,○,,,○,,○,,,○,○,○,○,○,,○,○,○,,○,○,,○,,,,,,,,○,○,,,,,,○,,○,,평균사용:1일이하,36.7g,5ATM,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
154,Polar M430,419920,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6918865&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1495435622&package=0&setpc=0,Polar,201812,스마트워치,기타OS,,,,,사각형,,,128x128,,,,,,○,,○,○,,,,,,,,,,,,,,,,,,,,,○,,,,○,,,,,,○,,,,,,,,,,,,,,,,,,,240mAh,,51g,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
155,zeblaze Crystal MTK2502,137000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3670623&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1399925171&package=0&setpc=0,zeblaze,201512,스마트워치,,블루투스,,안드로이드OS,iOS,,IPS,"3.8cm(1.5"")",240x240,미디어텍 MT2502A,,,,,,,○,○,○,,○,,,,,,,,,,,,,,,,,○,○,,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,,,,280mAh,평균사용:2일,47g,,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
156,핏빗 Versa,218990,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6049021&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B613662329&package=0&setpc=0,핏빗,201804,스마트워치,기타OS,블루투스,v4.0,v4.3 이상,v6.0 이상,사각형,,"3.3cm(1.3"")",,,,,,,,○,○,,,○,,,,,,,○,○,○,,,,,○,,,,○,○,○,○,○,,,,,,,,,,,,,,○,,,○,,,,,,○,,,,평균사용:4일,,,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
157,M7S,50360,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=5567305&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1103759528&package=0&setpc=0,,201710,스마트워치,,블루투스,,안드로이드OS,iOS,원형,OLED,"2.43cm(0.96"")",,,,,,,,,○,○,○,,,,,,,,,,,,,,,,,,,○,○,○,,○,,,,,,,,,,,,○,,○,,,,,,,,,,,,90mAh,,,,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
158,APPLE 워치 시리즈5 에디션 40mm Cellular 스페이스 블랙 티타늄 케이스,1250000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=9706734&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1774849206&package=0&setpc=0,APPLE,201912,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,,사각형,OLED,,324x394,애플S5,,,저장 : 32GB,○,○,○,○,○,,○,○,,,○,,,○,○,○,,,○,,,,,,○,○,○,○,,○,○,○,,○,○,○,○,,,○,,,,,,,,,,,○,,,○,,평균사용:1일이하,,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
159,E02,47870,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3793614&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=4084251101&package=0&setpc=0,,201602,스마트밴드,,블루투스,,안드로이드OS,iOS,사각형,,"2.5cm(1.0"")",,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,,,○,,,,,,,○,○,,,,,평균사용:5일,,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
160,APPLE 워치 시리즈4 44mm Cellular 알루미늄 케이스,734540,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6483686&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2226120762&package=0&setpc=0,APPLE,201809,스마트워치,iOS(WatchOS),LTE+블루투스,v5.0,,v12.0 이상,사각형,OLED,,368x448,애플S4,듀얼(2)코어,,저장 : 16GB,○,○,,○,○,,○,○,,,,○,,○,○,○,,,○,,○,,,○,○,○,○,○,,○,○,○,,○,○,,○,,,,,,,,○,○,,,,,,○,,○,,평균사용:1일이하,36.7g,5ATM,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
161,삼성전자 기어S2,303590,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3473239&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1833545437&package=0&setpc=0,삼성전자,201510,스마트워치,타이젠OS,블루투스,,안드로이드OS,,원형,OLED,"3.0cm(1.2"")",360x360,,듀얼(2)코어,램 : 512MB,저장 : 4GB,○,,○,○,○,○,○,○,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,,○,,○,○,○,,,250mAh,평균사용:약 2일,47g,,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,MSIP-CMM-SEC-SMR750 인증번호 확인
162,폴라 M400,222330,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=4371362&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=3778792380&package=0&setpc=0,폴라,201608,스마트워치,,블루투스,,안드로이드OS,iOS,사각형,,,128x128,,,,,,○,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,,,,,○,○,,,,190mAh,,56.6g,,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
163,APPLE 워치 시리즈3 38mm Cellular 스테인리스 스틸 케이스,719928,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6198850&cmpnyc=TN118&safe_trade=4&fee_type=T&link_pcode=1000028203738&package=0&setpc=0,APPLE,201806,스마트워치,iOS(WatchOS),LTE+블루투스,v4.2,,v12.0 이상,사각형,OLED,,340x272,애플S3,듀얼(2)코어,램 : 768MB,저장 : 16GB,○,○,○,○,○,○,○,○,,○,,,,○,○,○,,,,,○,,,○,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,○,,,,평균사용:18시간,42.4g,,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
164,런타스틱 모멘트 클래식,164710,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3952523&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=4847099472&package=0&setpc=0,런타스틱,201604,스마트워치,,블루투스,,안드로이드OS,iOS,,,"4.1cm(1.6"")",,,,,,,○,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,,,,,○,○,,,,,평균사용:6개월,240g,,,,MSIP-CRM-KRi-DP166 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
165,Epson 런센스 Wristable SF-850PB,412610,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3874284&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=838479318&package=0&setpc=0,Epson,201603,스마트워치,,블루투스,,안드로이드OS,iOS,원형,LED,,128x64,,,,,,○,,○,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,평균사용:20일,50g,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
166,모토로라 모토 360,289000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=2681103&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B219289608&package=0&setpc=0,모토로라,201408,스마트워치,안드로이드OS,블루투스,,안드로이드OS,,원형,LCD,"3.8cm(1.5"")",320x320,,,램 : 512MB,저장 : 4GB,,○,,○,○,○,○,,,,,,,,,,,,,,,,,,○,○,○,○,,,,,,,,,,,,,○,,○,,,○,,○,,,○,,,,320mAh,평균사용:2일,49g,,표준 22mm 시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
167,폴라 A360,335000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=4583912&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B304751097&package=0&setpc=0,폴라,201608,스마트밴드,,블루투스,,안드로이드OS,iOS,사각형,TFT,,160x80,,,,,,,,○,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,○,○,○,,○,○,,,,100mAh,,31.7g,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
168,Polar M600,736900,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6339230&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1765365526&package=0&setpc=0,Polar,201807,스마트워치,안드로이드OS,블루투스,,안드로이드OS,iOS,사각형,LCD,"3.3cm(1.3"")",240x240,미디어텍 MT2601,듀얼(2)코어,램 : 512MB,저장 : 4GB,○,○,,○,○,,○,,,,○,○,,,,,,,,,,,,,○,○,○,○,,○,,○,,,,,○,,,,,,,,,○,,○,,,,,,,500mAh,,,IPX8,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
169,폴라 V800,672000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=4415654&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B304750012&package=0&setpc=0,폴라,201609,스마트워치,,블루투스,,안드로이드OS,iOS,사각형,OLED,,128x128,,,,저장 : 8GB,,○,,,,○,,○,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,,,,,○,○,,,,350mAh,평균사용:2~3일,79g,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
170,런타스틱 모멘트 엘리트,169600,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3952473&cmpnyc=PO30C&safe_trade=4&fee_type=A&link_pcode=220301&package=0&setpc=0,런타스틱,201604,스마트워치,,블루투스,,안드로이드OS,iOS,,,"4.6cm(1.84"")",,,,,,,○,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,,,,,,,,,○,,○,,,,,,,○,○,,,,,평균사용:6개월,242g,,,,MSIP-CRM-KRi-DP166 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
171,Epson 런센스 Wristable SF-310G,242100,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3873512&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=3346827112&package=0&setpc=0,Epson,201603,스마트워치,윈도우OS,블루투스,,안드로이드OS,iOS,원형,LCD,,128x64,,,,,,○,,○,,,,○,,,,,,,,,,,,,,,,,○,○,○,○,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,평균사용:20일,50.3g,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
172,APPLE 워치 스포츠 42mm,603000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3127568&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=681546358&package=0&setpc=0,APPLE,201504,스마트워치,iOS(WatchOS),블루투스,,,iOS,사각형,OLED,"4.2cm(1.7"")",390x312,애플S1,,램 : 256MB,저장 : 8GB,,,○,○,○,,○,,,○,,,,,,,,,,,,,,,○,,○,○,,,,,,,,,,,,,○,,○,,,○,○,○,,,○,○,,,200mAh,평균사용:18시간,,,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
173,SONY 라이브뷰 MN800,138000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=2117616&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=566599449&package=0&setpc=0,SONY,201210,스마트워치,,블루투스,,안드로이드OS,,사각형,OLED,"3.3cm(1.3"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,○,,,,,○,,,,,평균사용:4일,15g,,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
174,N105,58440,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=8214637&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1454025274&package=0&setpc=0,,201906,,기타OS,블루투스,,안드로이드OS,iOS,원형,LCD,"2.67cm(1.05"")",128x128,,,램 : 32KB,저장 : 256KB,,○,,○,○,,,,,,,,,,,,,,,,,,,,○,,○,,,○,,,,,,,○,,,,,,○,,,,,,○,,○,,,,300mAh,,52g,IP68,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
175,H8 여성용 스마트워치,59900,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6785857&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=1527043519&package=0&setpc=0,,201812,스마트워치,,블루투스,,안드로이드OS,iOS,사각형,IPS,"2.43cm(0.96"")",160x80,Nordic nRF52832,,램 : 64KB,저장 : 512KB,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,○,,,,,,,,,,,,○,,○,,,,,,○,○,,,○,,120mAh,,43g,IP67,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
176,APPLE 워치 시리즈4 나이키+ 44mm 알루미늄 케이스,726690,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6483495&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B606016581&package=0&setpc=0,APPLE,201809,스마트워치,iOS(WatchOS),블루투스,v5.0,,v12.0 이상,사각형,OLED,,368x448,애플S4,듀얼(2)코어,,저장 : 16GB,○,○,,○,○,,○,○,,,,○,,○,○,○,,,○,,○,,,○,○,○,○,○,,○,○,○,,○,○,,○,,,,,,,,○,○,,,,,,○,,○,,평균사용:1일이하,36.7g,5ATM,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
177,코지토 COGITO FIT,124200,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=4217648&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=3973415157&package=0&setpc=0,코지토,201401,스마트워치,,블루투스,,,,원형,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,○,,,,○,○,,,,,평균사용:3개월이상,,,,밴드일체형,MSIP-CMM-HNO-CD003 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
178,코지토 COGITO Classic,189000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=3303522&cmpnyc=TMA01&safe_trade=4&fee_type=T&link_pcode=1602150429&package=0&setpc=0,코지토,201401,스마트워치,,블루투스,,안드로이드OS,iOS,원형,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,○,,,,○,○,,,,,,,,,밴드일체형,MSIP-CMM_Hno-CD002 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
179,"SONY 스마트워치, MN2",131950,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=1977870&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=2881636647&package=0&setpc=0,SONY,201210,스마트워치,,블루투스,,,,,OLED,"3.3cm(1.3"")",128x128,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,○,,,,,○,,,,,평균사용:1~7일,15.5g,,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
180,삼성전자 기어S 3G,일시 품절,,삼성전자,201411,스마트워치,타이젠OS,블루투스,,,,,OLED,"5cm(2.0"")",360x480,,,,,○,○,,○,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,○,,,,,○,,,,,평균사용:1~6일(300mAh),,,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,MSIP-CMM-SEC-SMR750 인증번호 확인
181,lemfo LES2,139790,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=6331847&cmpnyc=TQB02&safe_trade=4&fee_type=T&link_pcode=1469987534&package=0&setpc=0,lemfo,201807,스마트워치,안드로이드OS,블루투스,,안드로이드OS,iOS,원형,IPS,"3.3cm(1.3"")",360x360,미디어텍 MT6580,쿼드(4)코어,램 : 1GB,저장 : 16GB,○,○,,○,,,,,,,,,,,,,,,,,,,,,,○,,,,○,,,,,,,,,,,,,○,,,,,,,,,,○,○,450mAh,,90g,,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
182,페블 스마트워치,117030,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58305&cate4=0&pcode=2152985&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B243637354&package=0&setpc=0,페블,201307,스마트워치,페블OS,블루투스,,안드로이드OS,iOS,,e-ink,"3.0cm(1.2"")",168x144,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,○,,,,,○,,,,,평균사용:5~7일,,,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
