com.samsung.health.step_count,1140029,6
speed,pkg_name,count,sample_position_type,time_offset,start_time,calorie,deviceuuid,custom,end_time,datauuid,distance,create_time,update_time
1.444444,com.sec.android.app.shealth,85,230002,32400000,2020. 07. 06. 12:05:00,4.280000,ITeeWLY/e8,,2020. 07. 06. 12:05:59,46bb301c-0ed1-d1ba-2799-215f7a053422,65.540000,2020. 07. 06. 12:08:16,2020. 07. 06. 12:08:16,
1.333333,com.sec.android.app.shealth,10,230002,32400000,2020. 07. 06. 12:07:00,0.480000,ITeeWLY/e8,,2020. 07. 06. 12:07:59,a3978e53-c5c1-8f36-0ef6-21aad23e5b3e,7.620000,2020. 07. 06. 12:08:16,2020. 07. 06. 12:08:16,
1.500000,com.sec.android.app.shealth,77,230002,32400000,2020. 07. 06. 12:17:00,3.780000,ITeeWLY/e8,,2020. 07. 06. 12:17:59,2b930a21-ee6d-4290-42e8-0247cf368a3f,60.690000,2020. 07. 06. 12:28:43,2020. 07. 06. 12:28:43,
1.500000,com.sec.android.app.shealth,101,230002,32400000,2020. 07. 06. 12:18:00,4.990000,ITeeWLY/e8,,2020. 07. 06. 12:18:59,764cad62-6a1b-c35a-b949-cb6073cb2641,79.160000,2020. 07. 06. 12:28:43,2020. 07. 06. 12:28:43,
1.527778,com.sec.android.app.shealth,107,230002,32400000,2020. 07. 06. 12:19:00,4.760000,ITeeWLY/e8,,2020. 07. 06. 12:19:59,c466f07c-db81-954e-732e-202c4ba1d35b,77.250000,2020. 07. 06. 12:28:43,2020. 07. 06. 12:28:43,
1.611111,com.sec.android.app.shealth,117,230002,32400000,2020. 07. 06. 12:20:00,5.540000,ITeeWLY/e8,,2020. 07. 06. 12:20:59,33d5f959-b4a1-585e-2445-3047cda708be,92.800000,2020. 07. 06. 12:28:43,2020. 07. 06. 12:28:43,
1.444444,com.sec.android.app.shealth,113,230002,32400000,2020. 07. 06. 12:21:00,5.440000,ITeeWLY/e8,,2020. 07. 06. 12:21:59,d7384fdd-ab76-40cc-2495-aa42bf3941fe,76.240000,2020. 07. 06. 12:28:43,2020. 07. 06. 12:28:43,
1.444444,com.sec.android.app.shealth,105,230002,32400000,2020. 07. 06. 12:22:00,5.340000,ITeeWLY/e8,,2020. 07. 06. 12:22:59,acd7b3f1-ad5c-5496-98af-5d46905f6133,79.230000,2020. 07. 06. 12:28:43,2020. 07. 06. 12:28:43,
1.361111,com.sec.android.app.shealth,60,230002,32400000,2020. 07. 06. 12:23:00,3.040000,ITeeWLY/e8,,2020. 07. 06. 12:23:59,a7be13ea-5e75-fda0-eb87-8406f9578c19,44.760000,2020. 07. 06. 12:28:43,2020. 07. 06. 12:28:43,
1.027778,com.sec.android.app.shealth,43,230002,32400000,2020. 07. 06. 12:24:00,2.190000,ITeeWLY/e8,,2020. 07. 06. 12:24:59,5ed2de03-6445-908e-229b-103fd9d2faf2,31.250000,2020. 07. 06. 12:28:43,2020. 07. 06. 12:28:43,
1.388889,com.sec.android.app.shealth,26,230002,32400000,2020. 07. 06. 12:27:00,1.240000,ITeeWLY/e8,,2020. 07. 06. 12:27:59,902800c0-c9ab-8e4f-0835-daec1fbcddc3,19.910000,2020. 07. 06. 12:28:43,2020. 07. 06. 12:28:43,
1.416667,com.sec.android.app.shealth,2,230002,32400000,2020. 07. 06. 12:28:00,0.090000,ITeeWLY/e8,,2020. 07. 06. 12:28:59,9f72f86a-75fe-808d-5794-cd8d38511cc3,1.580000,2020. 07. 06. 12:28:43,2020. 07. 06. 12:28:43,
1.555556,com.sec.android.app.shealth,42,230002,32400000,2020. 07. 06. 12:34:00,2.000000,ITeeWLY/e8,,2020. 07. 06. 12:34:59,6dbda07b-7d04-0d40-7c5c-4511a04a60b1,33.450000,2020. 07. 06. 12:35:01,2020. 07. 06. 12:35:01,
0.748684,com.sec.android.app.shealth,16,,32400000,2020. 07. 06. 13:11:00,0.801875,sZOKHxE5f1,,2020. 07. 06. 13:12:00,15940086-0000-0000-F100-940086600000,11.189321,2020. 07. 06. 13:11:20,2020. 07. 06. 13:11:20,
0.766360,com.sec.android.app.shealth,39,,32400000,2020. 07. 06. 13:21:00,1.566995,sZOKHxE5f1,,2020. 07. 06. 13:22:00,15940092-0000-0000-F100-940092600000,21.362278,2020. 07. 06. 13:27:26,2020. 07. 06. 13:27:26,
0.783181,com.sec.android.app.shealth,26,,32400000,2020. 07. 06. 13:23:00,1.410244,sZOKHxE5f1,,2020. 07. 06. 13:24:00,15940093-0000-0000-F100-940093800000,19.273605,2020. 07. 06. 13:27:26,2020. 07. 06. 13:27:26,
1.333333,com.sec.android.app.shealth,14,230002,32400000,2020. 07. 06. 13:21:00,0.690000,ITeeWLY/e8,,2020. 07. 06. 13:21:59,6bc107d9-dc90-c389-d92e-eae9fc480215,10.790000,2020. 07. 06. 13:21:32,2020. 07. 06. 13:21:32,
1.250000,com.sec.android.app.shealth,11,230002,32400000,2020. 07. 06. 13:23:00,0.580000,ITeeWLY/e8,,2020. 07. 06. 13:23:59,a3c6bd94-a103-0bfb-fe60-384dbb538e78,8.130000,2020. 07. 06. 13:26:24,2020. 07. 06. 13:26:24,
